,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
97,Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10162455752.514,10157395056.2795,11019860699.9744,12013855263.6908,12296403388.1992,13331267326.9832,13829323137.4916,14723868834.6088,15424159923.6583,15531748233.494,17036736964.317,17884544595.2202,18849502622.5003,20072566940.6346,21897625326.5748,23945932319.4737,26290762652.7496,28667668913.0693,30461990353.2645,29947848187.0113,31427232362.6168,33314349143.9269,34844289142.3691,36445584467.0234,39875503507.5608,43955139193.462,47719049297.9263,52444135530.2339,55768198754.2598,58269725391.5089,53685295352.1223,
99,Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37310344441.7863,40227961710.4281,43347208819.2244,44915147827.6332,44946993772.7343,47737566972.8085,50115096815.4821,54937795234.3429,58879630628.0077,63171130429.3551,66534175729.1696,75858107038.6965,84020073215.8972,90165667938.9493,86747285745.1231,85767708981.8451,89956153249.3434,91315015882.1445,93970284954.7143,94622359034.9767,97949323815.94,105239441529.598,111997864063.431,117913518781.137,124301693223.533,116728185199.494,
100,Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15100659122.1901,15904905400.5055,15403577820.3564,14913038863.6361,13411235877.7359,15047695438.9466,15957713462.3739,16682392302.3614,17238235898.7894,17961066537.6561,18522346923.257,18863743328.1243,19363674109.9684,20409799765.2519,20683061648.8509,21982539559.9376,23048358870.3253,24781420144.6972,25934962104.9872,27671991007.0874,26412330081.787,28338743512.0008,28317559793.5753,30705944268.3952,31282859076.0868,31002356005.9301,33430852748.7186,34630691147.5786,36053609416.1394,36079021399.337,35293052437.8816,
101,Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86315335601.8802,85577250728.6728,87101019935.0327,91582813009.0066,94895967360.83,96407059250.1184,101102386754.28,106752843804.558,111315201192.571,121032462098.611,134556710886.521,147567884018.729,156818837080.535,164463538605.247,172611895620.975,185206554981.315,192063906876.768,208070456356.536,207767368877.189,217518838684.988,229736703978.527,230898725659.909,242941598582.397,253565765890.429,263858067583.423,274278759096.808,288755963637.472,311968303729.151,327479221871.952,322495191383.139,
106,Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558774614906.229,617599563136.178,672717169389.859,733401200225.154,805541513527.764,890036966195.71,977192086623.17,1041413997184.03,914893141070.981,935444860651.984,1003409878357.44,1062779719417.25,1128166279136.92,1204049454381.46,1298670016319.68,1415353361050.54,1538398895700.02,1679958456542.15,1815628705517.81,1914153967345.5,2056981019927.07,2229511719014.97,2413435225696.69,2535041372928.96,2622251600815.57,2647706548803.03,2744896640112.26,2894125530220.37,3116958911116.03,3331807553957.09,3302178323256.0,
113,Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47883474186.3519,64936631855.0986,86611272341.6721,91870539838.8004,95785489865.231,108288887630.378,133634845901.949,182244439910.561,217381027435.822,259847323269.002,270224435739.815,251994049035.97,162581938193.032,256084692644.573,268476401388.291,292218765526.546,305726586077.155,337318189594.393,351375625502.977,378229231184.638,415269270855.8,483559417994.869,515106414386.02,477915775957.398,347324222790.713,345187247265.842,395294585902.049,415446982060.298,448054694317.543,382384287941.314,
114,Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6403700706.86113,6660756005.99043,7286037601.20486,7870935169.44779,8198700509.48308,8374029903.19514,9083647680.12818,9375292903.83657,9467117162.39651,10402566195.3671,11074925909.5813,12060245455.1024,12918593643.0796,13879915595.1021,13333702097.3425,12650175257.2892,13059433954.0833,13471498420.0286,14378252058.9283,15058763610.4313,16276450019.0689,17939410954.5851,19106258173.1223,20179627055.8535,21017252183.8605,19648531128.3253,
115,Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109562876046.747,118292109467.005,125053690566.982,131769815403.094,138397458398.735,156918207268.263,160618483727.785,165761176038.417,159517989860.138,171851539217.979,172239166012.23,181286708934.43,197547119022.741,201065379259.698,205568514055.458,219864969763.066,237915785308.268,251920597832.105,276637325676.912,282342233389.766,297241729645.699,323407941272.97,340875586977.724,354478124346.045,362196492248.562,363897671288.118,
116,Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056545808814.71,1109079922325.13,1143817822577.35,1160944952823.99,1211242032030.65,1272340233780.04,1310778391331.27,1358305334702.8,1423867357310.84,1457193715148.05,1541560741083.81,1597196870606.33,1639680554324.34,1673369455669.35,1704871904435.45,1746657911754.7,1886980489571.51,1995154074533.5,2089717925618.93,2044870825840.8,2084101618229.3,2173169963370.93,2172383785077.79,2187377576803.98,2200255257934.9,2240921139199.72,2420671363968.59,2517184209191.25,2600325592797.6,2648041042436.58,2491058669338.13,
117,Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11525745251.5262,12492019705.6012,13026555463.5416,14591130682.192,15108875759.8851,15788191065.0051,16058982899.5962,16159722979.4259,15960100463.3245,16360156939.7652,16872854997.5817,17474853987.2701,18105809166.547,19118195450.3434,19892783422.9377,20695771853.1773,21940221747.5853,22852210774.9206,23107608374.1713,22272019167.2491,22203226227.1507,23059255170.7083,23269052381.302,24136041839.9217,24568341334.6002,25418047671.9003,26720444470.3245,28040446746.5718,29256359453.0386,30044342031.9727,27365793256.5348,
