,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
35,Canada,CAN,2259.29428549881,2240.43303945853,2268.58534607907,2374.49844764883,2555.11114601309,2770.36180408145,3047.10614707958,3217.15929360795,3462.67887195794,3763.95337938417,4121.93281373693,4520.1628781257,5089.58790204875,5838.66089434012,7033.01102090736,7511.21134279151,8809.26466044933,8919.05746104275,9123.69133364505,10043.6609586669,11170.5639723393,12337.4662493804,12481.8747874298,13425.1224888294,13877.9170763469,14114.8077599664,14461.0692388787,16308.9669663579,18936.9641024997,20715.631483174,21448.3619600057,21768.3432941828,20879.8483300891,20121.1612532855,19935.3814579208,20613.7878829216,21227.3475315896,21901.5628548392,21024.5850687045,22315.2466731545,24271.0020563821,23822.0601178964,24255.3385818322,28300.4630963791,32143.6814078562,36382.5079164537,40504.0607253203,44659.8951408034,46710.5055759013,40876.3101540295,47562.0834253057,52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.3564395662,46548.5203600809,46338.3409560127,43294.6481631917,
37,Switzerland,CHE,1787.36034770201,1971.31632279228,2131.39165159983,2294.18284731738,2501.29318996377,2620.475547353,2784.73354771646,2960.72258588384,3121.8890308772,3344.78360254639,,,,,,,,,,,19410.1893547743,17679.8688671472,18015.1059588746,17874.2506500052,17005.5342408851,17166.5184994159,24480.4225642346,30466.1090219178,32717.9204479296,31334.9790794011,39607.8190856429,39577.7487487507,40747.9254622791,39270.1141346041,43128.014108909,50155.9741273218,48144.5791284296,41631.4388587844,42740.1281825149,41786.2341411701,38952.0342005572,39727.8466713883,42578.7631355696,49470.3971259674,54878.4710009787,56546.7856553987,59300.6172165015,65359.5192218269,74572.232372807,72083.167695454,77117.126014204,91254.0347609687,86547.6708907265,88109.4867524037,89684.7075795936,84776.1421659748,83073.2800824812,83352.0886533412,86388.4049527184,85334.5194620909,87097.0364503764,
39,Chile,CHL,505.349325487754,555.134402585522,638.945359978238,655.252248742542,678.12810640018,670.395685818079,772.725716153161,753.127957880928,756.912000888148,870.319838548041,932.861569157008,1094.68225322923,1173.21838912003,1640.02969981711,1554.38780304276,719.599157534302,961.424604043232,1278.3281597291,1441.94208564388,1937.26657210336,2542.76380632828,2979.60787872839,2156.51306610576,1709.44206937403,1624.63196763634,1444.28013827502,1517.86134513797,1760.30639801716,2026.83791425817,2288.55494089948,2494.5267963643,2803.56271373259,3350.21408876441,3535.17436010228,4024.21522782414,5107.27751262395,5349.80522678303,5745.37107556213,5446.57952186233,4957.77755686759,5074.90261608751,4574.59471550233,4446.24937096032,4772.56372299225,6194.85272016887,7598.52887745949,9464.54850677338,10502.3507082138,10751.4816046617,10208.9079714327,12808.0383396885,14637.2334407932,15351.5407387153,15842.936483624,14670.9889142695,13574.1692377524,13753.5921485096,14998.8170563218,15888.144355397,14741.7144039936,13231.7042069381,
40,China,CHN,89.5205415103584,75.8058379259965,70.9094116671007,74.3136434486145,85.4985551596313,98.4867777522206,104.324566181147,96.5895319417819,91.4727183066072,100.12990326618,113.162991554686,118.654577785346,131.883561243868,157.090374298657,160.140093727686,178.341819608096,165.40554037242,185.422832913673,156.396388520044,183.983152215978,194.804722186836,197.071474499102,203.334919503464,225.431928890812,250.713969046988,294.45884850496,281.928120911563,251.811956961329,283.537695240524,310.8819124049,317.884673040928,333.142145400184,366.460692306116,377.3898394789,473.492278719989,609.656679205465,709.413755088002,781.744164343014,828.580479299572,873.287061730612,959.372483635864,1053.10824300262,1148.50829043887,1288.64325183475,1508.66809788453,1753.41782926104,2099.22943460734,2693.97006340427,3468.30460207977,3832.23643246922,4550.45310775599,5614.35213522114,6300.61511825789,7020.33848453658,7636.11660125502,8016.43143498003,8094.36336675194,8816.98690451989,9905.34200389253,10143.8381719921,10434.7751874839,
42,Cameroon,CMR,118.643145152375,123.514808121384,128.594637171558,130.175274222774,137.629764066857,141.00251500175,144.015365257037,154.677890714907,168.702148776461,173.121717613681,176.573709220576,184.903475790353,218.176053625042,269.592295990753,297.686036001171,383.440546899434,378.123621592424,430.381399346939,574.166389497957,707.54428955229,774.185243395911,743.76016035988,721.21630693668,726.505955159392,749.339066162896,848.473279523312,1140.59718218245,1216.06446737421,1104.79375307297,963.832678121054,1045.36436194844,975.471948892412,965.780738944037,1257.90570919067,672.848687984032,798.881310215978,794.051161595263,752.169823734245,767.340360312315,765.310331531903,681.102042961201,687.648134393621,759.111851391454,950.564863700067,1090.78533201113,1100.17492617744,1147.4365999036,1277.51680707357,1439.5478041268,1411.47457192714,1352.30227450638,1465.14578817708,1403.52291521783,1527.75125667954,1604.21403479187,1382.5097900241,1413.2559568153,1469.44749980724,1585.24053445546,1533.09568807789,1537.13021832773,
45,Colombia,COL,251.041522886697,274.052264169385,289.917945751026,274.314957549389,328.655032086694,307.646860038546,281.566048500385,293.644264112561,292.257496192437,307.995210195731,335.118203567684,355.407517381591,385.112520847993,448.033817191843,525.525729824423,544.290906620908,623.428969063515,773.74581550652,904.010693463528,1061.84834483588,1241.63958703115,1323.37657317699,1386.67296904813,1348.80462319265,1304.17717695327,1165.04241373426,1142.93936333953,1165.98239687223,1232.22615383192,1218.2110099369,1445.32863023383,1456.69435734689,1697.11293600516,1893.54221193734,2284.83881295591,2539.91287721915,2620.53876171399,2827.37952669446,2566.02419382074,2209.93165047196,2520.48108876016,2439.68245582205,2396.62712731836,2281.40176243006,2782.62318502156,3414.46515834715,3741.09283661274,4714.07305530504,5472.53652992426,5193.24145795078,6336.70947398467,7335.16693447606,8050.25537167051,8218.34784431478,8114.34392085161,6175.8760297026,5870.77795724165,6376.70671552601,6729.58333198168,6424.9794924083,5334.55604233917,
48,Costa Rica,CRI,381.363681787435,355.002748805393,334.309248673039,344.354656780256,352.336884923327,372.280578054054,393.480684289771,412.235106379122,442.779608706134,474.795303927538,533.091564923652,568.096446811171,636.905052312237,767.327128750393,816.036862476808,936.336822793007,1122.80763217263,1393.00051633396,1555.54041110176,1734.61797031565,2021.54877949117,1068.50242458534,1032.99700439486,1213.55645987789,1373.93926134921,1432.0812477993,1572.45502472836,1571.29230961833,1558.50586855878,1727.87096064885,1831.00015091186,2247.37337928741,2605.80522495869,2841.64277992717,3031.88877065806,3265.69338131157,3215.10568673196,3391.97773522121,3597.4345089865,3668.80206789503,3789.05388634101,3960.30770309298,4042.70568599475,4147.82436896025,4404.71188432054,4676.37936562394,5227.46595193306,6103.74191704459,6901.38830613085,6801.03673459666,8227.12749377141,9229.83451669454,10075.0046155735,10744.0910189201,10847.1696672929,11642.7780517194,12011.2227544354,12225.5744931403,12485.423896168,12693.8279560372,12140.8541545754,
50,Cuba,CUB,,,,,,,,,,,653.426953234621,779.723789358404,901.367104436012,1088.12697270212,1223.69134937025,1379.08184086498,1443.30243335831,1472.72958190941,1835.11153638088,2000.28018891835,2021.72463528813,2035.60723078833,2107.93242902529,2224.65348584484,2396.35366186717,2269.82521869396,2378.91072256146,2451.13299934837,2640.91842220202,2572.69169504224,2703.16829418751,2278.21038708065,2057.10359549696,2073.09371207959,2624.75703485548,2794.73880836447,2286.92905432119,2308.14661506698,2331.4626913698,2558.90410118548,2747.10030348478,2837.73573008299,2999.24176296717,3197.13318464341,3395.71084290657,3786.66345042341,4683.56906667746,5208.71838769431,5411.26949201186,5529.66937511797,5730.35426413345,6139.71878325885,6497.31476421306,6837.71167985881,7133.33767875907,7694.01463710941,8060.79659761513,8541.21368643707,8824.19400843842,9125.8786794952,9477.85287326771,
54,Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3941.50309406941,2896.60913065504,3372.86542951101,3956.1783495613,4630.55121674353,5824.12129119574,6532.83705470198,6034.48843731935,6489.7036188033,6337.41912037126,6029.03819275358,6637.04165713981,8060.86870292424,9818.56849307488,11749.8526643577,13430.6698955613,15261.7975911138,18466.5479299216,22804.5776774507,19861.6974295256,19960.0684872157,21871.2660754128,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23419.7356136502,23660.1488068317,22931.2745975622,
55,Germany,DEU,,,,,,,,,,,2761.16683289339,3192.13361563743,3809.98144489456,5046.75510305815,5639.07762129679,6236.3588812986,6634.85689909309,7682.95377492882,9482.04284964716,11281.0233245081,12138.3081034267,10209.0731153846,9913.73764159395,9864.3449403866,9313.16941243118,9429.56921688214,13461.8310034147,16677.51078816,17931.2823228876,17764.376445833,22303.9613266628,23357.757725073,26438.2303888417,25522.6295733618,27076.60675014,31658.3493789135,30485.8665482279,26964.0494672673,27289.0593603191,26725.9152182573,23635.9292203977,23607.8828553922,25077.7290759602,30243.5765296979,34044.0536341248,34507.3688142332,36323.4477421822,41587.2128984264,45427.151677489,41485.9016495139,41531.9341978689,46644.776027968,43858.3630551076,46285.7640688407,47959.9932737599,41086.7296737253,42107.5172703074,44542.2952040833,47950.1808142041,46794.8992915603,46208.4294717472,
