,sofifa_id,short_name,short_name,long_name,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,nationality_id,nationality_name
83,170481,E. Garay,E. Garay,Ezequiel Marcelo Garay,14500000.0,150000.0,27,188,80,100769.0,Zenit St. Petersburg,52,Argentina
84,170890,B. Matuidi,B. Matuidi,Blaise Matuidi,14000000.0,150000.0,27,175,70,73.0,Paris Saint-Germain,18,France
85,171833,D. Sturridge,D. Sturridge,Daniel Andre Sturridge,18500000.0,120000.0,24,183,76,9.0,Liverpool,14,England
91,181783,M. Mandžukić,M. Mandžukić,Mario Mandžukić,17000000.0,160000.0,28,187,84,240.0,Atlético de Madrid,10,Croatia
92,186561,A. Ramsey,A. Ramsey,Aaron Ramsey,15000000.0,130000.0,23,177,70,1.0,Arsenal,50,Wales
93,186942,İ. Gündoğan,İ. Gündoğan,İlkay Gündoğan,15000000.0,130000.0,23,180,79,22.0,Borussia Dortmund,21,Germany
94,189358,S. Kagawa,S. Kagawa,香川 真司,19000000.0,140000.0,25,172,64,22.0,Borussia Dortmund,163,Japan
95,189362,Hulk,Hulk,Givanildo Vieira de Souza,18500000.0,160000.0,27,180,85,100769.0,Zenit St. Petersburg,54,Brazil
96,189505,Pedro,Pedro,Pedro Eliezer Rodríguez Ledesma,18000000.0,160000.0,26,169,64,241.0,FC Barcelona,45,Spain
97,193080,De Gea,De Gea,David De Gea Quintana,13500000.0,130000.0,23,193,82,11.0,Manchester United,45,Spain
98,193082,J. Cuadrado,J. Cuadrado,Juan Guillermo Cuadrado Bello,18000000.0,130000.0,26,176,66,110374.0,Fiorentina,56,Colombia
99,195864,P. Pogba,P. Pogba,Paul Pogba,13500000.0,120000.0,21,188,80,45.0,Juventus,18,France
100,197781,Isco,Isco,Francisco Román Alarcón Suárez,15000000.0,120000.0,22,176,74,243.0,Real Madrid CF,45,Spain
102,13743,S. Gerrard,S. Gerrard,Steven Gerrard,3900000.0,100000.0,34,183,83,9.0,Liverpool,14,England
103,16254,T. Howard,T. Howard,Timothy Matthew Howard,9500000.0,60000.0,35,191,88,7.0,Everton,95,United States
104,20800,Danny,Danny,Daniel Miguel Alves Gomes,13500000.0,130000.0,30,178,70,100769.0,Zenit St. Petersburg,38,Portugal
105,48717,Júlio César,Júlio César,Júlio César Soares de Espíndola,10500000.0,100000.0,34,186,79,234.0,SL Benfica,54,Brazil
107,121933,R. Adler,R. Adler,René Adler,16000000.0,80000.0,29,191,87,28.0,Hamburger SV,21,Germany
108,136130,Alex,Alex,Alex Rodrigo Dias da Costa,9000000.0,130000.0,32,188,92,47.0,AC Milan,54,Brazil
109,136138,Diego,Diego,Diego Ribas da Cunha,16000000.0,140000.0,29,173,73,326.0,Fenerbahçe SK,54,Brazil
110,142784,P. Zabaleta,P. Zabaleta,Pablo Javier Zabaleta Girod,12500000.0,130000.0,29,178,76,10.0,Manchester City,52,Argentina
111,146954,Gabi,Gabi,Gabriel Fernández Arenas,13500000.0,130000.0,30,180,74,240.0,Atlético de Madrid,45,Spain
112,150418,M. Gomez,M. Gomez,Mario Gómez García,17000000.0,140000.0,28,189,88,110374.0,Fiorentina,21,Germany
113,150724,J. Hart,J. Hart,Charles Joseph John Hart,15000000.0,150000.0,27,196,91,10.0,Manchester City,14,England
114,152999,R. Palacio,R. Palacio,Rodrigo Sebastián Palacio,13000000.0,130000.0,32,175,70,44.0,Inter,52,Argentina
115,158625,Dante,Dante,Dante Bonfim da Costa Santos,11500000.0,130000.0,30,188,87,21.0,FC Bayern München,54,Brazil
116,159065,E. Lavezzi,E. Lavezzi,Ezequiel Iván Lavezzi,14500000.0,140000.0,29,173,75,73.0,Paris Saint-Germain,52,Argentina
117,161956,Borja Valero,Borja Valero,Borja Valero Iglesias,14500000.0,100000.0,29,175,73,110374.0,Fiorentina,45,Spain
119,163631,L. Baines,L. Baines,Leighton Baines,12500000.0,90000.0,29,170,70,7.0,Everton,14,England
120,163705,S. Mandanda,S. Mandanda,Steve Mandanda,16000000.0,130000.0,29,185,82,219.0,Olympique de Marseille,18,France
121,164169,Filipe Luís,Filipe Luís,Filipe Luís Kasmirski,13500000.0,140000.0,28,182,78,5.0,Chelsea,54,Brazil
122,164994,J. Błaszczykowski,J. Błaszczykowski,Jakub Błaszczykowski,15500000.0,150000.0,28,175,71,22.0,Borussia Dortmund,37,Poland
123,169416,C. Vela,C. Vela,Carlos Alberto Vela Garrido,19000000.0,120000.0,25,177,75,457.0,Real Sociedad,83,Mexico
126,172871,J. Vertonghen,J. Vertonghen,Jan Vertonghen,14500000.0,130000.0,27,189,86,18.0,Tottenham Hotspur,7,Belgium
128,173426,S. Mignolet,S. Mignolet,Simon Luc Hildebert Mignolet,16000000.0,130000.0,26,193,87,9.0,Liverpool,7,Belgium
129,173771,Ł. Piszczek,Ł. Piszczek,Łukasz Piszczek,12500000.0,120000.0,29,184,78,22.0,Borussia Dortmund,37,Poland
130,175943,D. Mertens,D. Mertens,Dries Mertens,18500000.0,130000.0,27,169,61,48.0,Napoli,7,Belgium
131,176676,Marcelo,Marcelo,Marcelo Vieira da Silva Júnior,16000000.0,150000.0,26,174,75,243.0,Real Madrid CF,54,Brazil
132,179784,B. Höwedes,B. Höwedes,Benedikt Höwedes,16000000.0,140000.0,26,187,82,34.0,FC Schalke 04,21,Germany
133,179944,David Luiz,David Luiz,David Luiz Moreira Marinho,14500000.0,160000.0,27,189,84,73.0,Paris Saint-Germain,54,Brazil
134,180403,Willian,Willian,Willian Borges da Silva,17000000.0,120000.0,25,175,75,5.0,Chelsea,54,Brazil
135,180432,Hernanes,Hernanes,Anderson Hernanes de Carvalho Andrade,14500000.0,130000.0,29,180,76,44.0,Inter,54,Brazil
136,182494,F. Muslera,F. Muslera,Néstor Fernando Muslera Micol,15500000.0,140000.0,28,190,77,325.0,Galatasaray SK,60,Uruguay
137,183556,N. Subotić,N. Subotić,Neven Subotić,15000000.0,130000.0,25,193,88,22.0,Borussia Dortmund,51,Serbia
138,184144,N. Gaitán,N. Gaitán,Osvaldo Nicolás Fabián Gaitán,18000000.0,140000.0,26,173,67,234.0,SL Benfica,52,Argentina
139,185221,Luiz Gustavo,Luiz Gustavo,Luiz Gustavo Dias,15000000.0,130000.0,26,187,80,175.0,VfL Wolfsburg,54,Brazil
142,190460,C. Eriksen,C. Eriksen,Christian Dannemann Eriksen,15000000.0,110000.0,22,177,71,18.0,Tottenham Hotspur,13,Denmark
143,191202,N. Matić,N. Matić,Nemanja Matić,14500000.0,120000.0,25,194,84,5.0,Chelsea,51,Serbia
144,192448,M. ter Stegen,M. ter Stegen,Marc-André ter Stegen,11500000.0,110000.0,22,189,82,241.0,FC Barcelona,21,Germany
145,192563,B. Leno,B. Leno,Bernd Leno,11500000.0,100000.0,22,190,82,32.0,Bayer 04 Leverkusen,21,Germany
146,193747,Koke,Koke,Jorge Resurrección Merodio,13500000.0,110000.0,22,178,74,240.0,Atlético de Madrid,45,Spain
147,194765,A. Griezmann,A. Griezmann,Antoine Griezmann,15000000.0,130000.0,23,176,68,240.0,Atlético de Madrid,18,France
148,196144,J. Martínez,J. Martínez,Jackson Arley Martínez Valencia,18500000.0,150000.0,27,185,85,236.0,FC Porto,56,Colombia
150,200949,Lucas,Lucas,Lucas Rodrigues Moura da Silva,15000000.0,120000.0,21,172,72,73.0,Paris Saint-Germain,54,Brazil
152,9676,S. Eto'o,S. Eto'o,Samuel Eto'o Fils,7500000.0,50000.0,33,179,75,7.0,Everton,103,Cameroon
153,11141,M. Klose,M. Klose,Miroslav Klose,1300000.0,80000.0,36,184,84,46.0,Lazio,21,Germany
154,24630,José Reina,José Reina,José Manuel Reina Páez,10000000.0,100000.0,31,188,92,21.0,FC Bayern München,45,Spain
157,34079,A. Cole,A. Cole,Ashley Cole,4900000.0,70000.0,33,176,66,52.0,Roma,14,England
158,45574,R. van der Vaart,R. van der Vaart,Rafael van der Vaart,10000000.0,70000.0,31,176,74,28.0,Hamburger SV,34,Netherlands
159,49369,Fernando Torres,Fernando Torres,Fernando José Torres Sanz,10500000.0,110000.0,30,186,78,47.0,AC Milan,45,Spain
160,53578,N. de Jong,N. de Jong,Nigel de Jong,8500000.0,100000.0,29,174,72,47.0,AC Milan,34,Netherlands
161,116494,C. Carrasso,C. Carrasso,Cédric Carrasso,9000000.0,90000.0,32,187,87,59.0,FC Girondins de Bordeaux,18,France
162,135475,Felipe Melo,Felipe Melo,Felipe Melo de Carvalho,6500000.0,100000.0,31,183,80,325.0,Galatasaray SK,54,Brazil
163,135507,Fernandinho,Fernandinho,Fernando Luiz Rosa,10500000.0,100000.0,29,176,67,10.0,Manchester City,54,Brazil
164,137262,S. Kießling,S. Kießling,Stefan Kießling,10500000.0,90000.0,30,191,80,32.0,Bayer 04 Leverkusen,21,Germany
165,139068,Nani,Nani,Luís Carlos Almeida da Cunha,12000000.0,110000.0,27,175,66,237.0,Sporting CP,38,Portugal
167,146758,Soldado,Soldado,Roberto Soldado Rillo,11500000.0,90000.0,29,179,72,18.0,Tottenham Hotspur,45,Spain
168,148711,Luisão,Luisão,Ânderson Luís da Silva,4900000.0,80000.0,33,192,81,234.0,SL Benfica,54,Brazil
169,152039,D. Agger,D. Agger,Daniel Munthe Agger,9000000.0,100000.0,29,191,79,269.0,Brøndby IF,13,Denmark
170,155897,C. Dempsey,C. Dempsey,Clint Dempsey,10000000.0,70000.0,31,185,84,111144.0,Seattle Sounders FC,95,United States
172,162131,Llorente,Llorente,Fernando Javier Llorente Torres,11500000.0,110000.0,29,195,90,45.0,Juventus,45,Spain
173,164435,M. Boussoufa,M. Boussoufa,Mbark Boussoufa,11500000.0,90000.0,29,167,61,100765.0,FC Lokomotiv Moscow,129,Morocco
