,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
35,Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25258.8605604948,26319.6741635104,27841.3533496575,29362.0841609786,30230.8029655917,30963.0530022941,32349.9436608677,33925.7067319515,36327.2286544972,38119.4131958397,39575.3097484091,40376.3068799056,38865.4134577266,40099.4482394377,41666.7076267956,42290.9654102745,44298.5787342765,45753.7505547994,44670.0805385838,46472.3402486315,48317.0965785817,49992.6354904724,49309.5008586611,46611.3090055858,
37,Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28470.3589447096,28801.3748996261,29121.9921289225,29504.797071,30275.1914696119,30851.8004105071,31534.0960736994,32771.0593671899,33905.1273776599,34818.0760351278,36772.6946184421,37896.6969577575,38814.3717381965,38840.8818833536,40336.4089557059,41749.2164457237,46502.9282746387,51208.0988282218,54096.8078629618,53354.0046402285,54858.4480758362,57987.5020305492,59933.5986829168,62225.087267788,64103.0104476336,66020.2043398841,68105.1549836834,69103.570264696,71660.2068398902,72033.9294404588,71742.5166044165,
39,Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504.01387192047,4944.68130992454,5613.85612180246,6109.73502303218,6558.42609769693,7340.24887490611,7998.9475890838,8623.71876309557,8981.59184094406,8959.91907579782,9538.07527842726,9962.27424960842,10319.9453639356,10839.9597259037,11810.2433203001,12746.5896892724,15753.960100542,16941.829833598,16501.8098843876,16159.6071479987,18161.809244628,20342.5614772748,21507.6925702008,22439.2732478546,22786.6427713304,22698.5456555447,23437.5925260305,24470.7036237008,25714.1394249978,25395.4977729202,25110.1595407625,
40,China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.874558541552,1094.07361314192,1262.61102800593,1455.16643562528,1661.11723432009,1861.38829441591,2061.82428516269,2269.2014013591,2451.15280360163,2653.97362585327,2920.56079076815,3210.00939572914,3534.84912978684,3937.31287532441,4425.87419106099,5053.94579810189,5836.57343667871,6810.60390010026,7574.22445504338,8307.84951896429,9253.76518771214,10292.9404780675,11168.6972979775,11872.4973811617,12480.3385303781,12897.5022868592,13483.3772665319,14243.5326108491,15497.3599948376,16653.338843518,17210.7648899624,
42,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.31774262207,1887.130761685,1816.19814390492,1663.25665210432,1682.66691138429,1719.70644882616,1776.56652181282,1840.96903059972,1899.43516911127,1961.97387521356,2028.82559144813,2106.63429185235,2177.16850000849,2276.83140075992,2436.45533313286,2499.66951977028,2601.50065969807,2711.60981878851,2765.93176436338,2781.28985080513,2816.79742422742,2892.44839355173,2958.69262357735,3129.85863840047,3312.54006384035,3395.62896070874,3527.16537164694,3665.11785084879,3800.97126711913,3901.14195980824,3867.51923959627,
45,Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009.02621651842,5179.46640127616,5405.42311685943,5720.4274690818,6066.87070996469,6397.80664582717,6531.43469155337,6758.27056919241,6758.52574907649,6460.90682665561,6690.37375083775,6843.73903680457,7018.08201847342,7319.54321218707,7806.05050932725,8324.75468840448,9035.56563955056,9781.97040788477,10179.2448415524,10258.9708392748,10731.645914959,11604.102283016,12018.6512847411,12727.764931531,13307.4245015783,13265.7972569151,13812.0960563446,14171.3205005648,15044.0553365323,15688.6333779317,14931.0468506417,
48,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5026.15966934218,5176.70608705563,5633.29212817483,6019.01594129034,6264.61095552821,6498.76876156747,6546.78537307213,6865.12040575859,7273.0219841163,7527.64789973075,7838.4399168426,8142.67203460157,8414.65774949844,8805.39497374121,9305.99188360408,9836.96227015174,10727.2032806153,11760.0655163335,12392.2856767078,12219.9404904944,12863.8495103757,13545.9317746231,14321.5183732954,15005.9193570501,16067.3307687659,17090.796576083,19075.0044670019,20347.0347715873,21319.0439930828,22511.300668619,22132.4694702624,
50,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12717.9698654759,11648.8535434863,11841.855624409,12117.4496519413,12731.6704277588,13852.1499044007,14685.6935317916,14824.6595234413,14977.7220609734,15396.3117820518,16235.4806329245,17621.0541268449,18252.5727653685,19538.0704015253,20932.0784185044,22095.3878539836,23923.7038826992,26282.375491299,27974.487131849,27761.5091540229,27881.9679972276,29001.3680365492,29254.7312685144,30818.1081558477,32502.4753540118,33899.2865661657,36097.7052556977,38824.8879170919,41135.4929835656,42847.0047376207,41603.9885681455,
55,Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19452.5734006722,20984.2498723886,21709.5013363356,21862.8021787152,22784.581468641,23552.2533168405,24071.8978026703,24572.6884223156,25345.0644636765,26291.2110793898,27199.0440906856,28368.543282612,29178.6374658122,29908.1395291325,31333.8363031281,31794.0960095207,34160.3449318802,36287.4822419008,37802.3874303197,36815.8440540696,38952.6946021004,42541.5310884096,43359.6148271723,44993.8927459315,47011.5510935131,47609.7810045816,50579.6839299266,53071.4555699913,55235.366304833,55652.8874913932,54792.0644751381,
